YEAR,NFIREID,FIRECAUS,BURNCLAS,AGENCY,POLY_HA,ADJ_HA,fire_area,latitude,longitude
1986,90,Human,Full 75-100%,BC,150.086518607,150.086518607,148.30051021398538,50.62154733222387,-124.85592240077034
1986,91,Lightning,Full 75-100%,BC,367.270248558,367.270248558,362.1801352264001,50.90724459646222,-123.9875946864858
1986,92,Lightning,Full 75-100%,BC,268.970036965,268.970036965,265.3441170726316,50.85158376428769,-124.51482877146765
1986,96,Human,Full 75-100%,BC,37.3439561746,40.8469656558,36.88963119911259,50.66000000601924,-125.65999999929201
1986,97,Human,Full 75-100%,BC,77.0966182882,83.4237390368,75.41034996439689,52.14000000697923,-120.72612148050317
1986,98,Human,Full 75-100%,BC,54.7892987878,59.0488708439,53.764799508017234,51.6400000077897,-122.78000000009813
1987,100,Human,Full 75-100%,BC,78.7856568077,83.7290220636,78.10488274281926,50.15901536495174,-123.53234722506933
1987,103,Human,Full 75-100%,BC,50.4864457711,54.583485393,49.823630643996886,50.80000000669238,-121.57000000076104
1987,104,Human,Full 75-100%,BC,62.9559099888,67.4876105867,61.70244070883498,51.82999933935626,-117.53000495255034
1987,105,Human,Full 75-100%,BC,27.0377390384,29.9448079583,26.704719527100927,50.68183558956596,-122.0252059821371
1987,106,Human,Full 75-100%,BC,25.2057999642,27.9915763533,24.862845743001504,50.87000000670833,-121.40000000036302
1987,109,Human,Full 75-100%,BC,141.113424924,146.632506348,138.56891401718877,51.53652586326553,-119.48972527642235
1987,110,Lightning,Full 75-100%,BC,65.8128418089,70.42947946,65.17535960094924,50.30573136182029,-124.30287736274278
1987,111,Human,Full 75-100%,BC,1380.58374528,1313.72802104,1357.5185596987192,51.333475162233036,-121.17135034572547
1987,112,Human,Full 75-100%,BC,35.2880657767,38.6826532593,34.5240068587188,52.10826357230732,-118.34120640507494
1987,114,Lightning,Full 75-100%,BC,91.6630743321,96.8470405894,90.59019098069506,50.59341081958378,-124.02637587590291
1987,115,Human,Full 75-100%,BC,296.103968445,299.010369678,293.17428340731357,50.3351044259271,-124.89670653368506
1987,117,Human,Full 75-100%,BC,115.082715857,120.528328979,112.83269064757847,51.77342109721782,-119.95257971972366
1987,118,Lightning,Full 75-100%,BC,16.7698123039,18.9183704592,16.566011341141095,50.65808815421554,-124.21513222249875
1987,125,Human,Full 75-100%,BC,538.493416099,531.373925635,529.0878103966228,51.449522862750364,-122.21273798272294
1987,126,Lightning,Full 75-100%,BC,125.286946131,130.785982208,123.71554728821673,50.71457540832514,-124.68046703142116
1987,127,Lightning,Full 75-100%,BC,123.69851454,129.191421646,122.02001109843833,50.864583497667674,-124.39680794871194
1987,129,Human,Full 75-100%,BC,49.990228536,54.0676021991,49.526179995552006,50.24894076452149,-126.45296999742305
1987,130,Human,Full 75-100%,BC,14.1519327722,16.0699878716,13.91210484089584,51.37000000706352,-123.0800000017051
1987,131,Human,Full 75-100%,BC,96.8044056273,102.063990063,95.83864008896103,50.34678662417214,-126.39271873700328
1987,133,Lightning,Full 75-100%,BC,12.1507176152,13.8789511406,11.855712326978852,52.5400002879058,-119.48000099197222
1987,135,Human,Full 75-100%,BC,72.7884616719,77.5922176881,71.11018535131198,52.33731216155973,-120.58396756897147
